Individuo,Orden de preferencia,Clave,Nombre de la Materia
47,1,2037,Investigación de Operaciones II
55,5,2037,Investigación de Operaciones II
60,5,2037,Investigación de Operaciones II
61,5,2037,Investigación de Operaciones II
69,3,2037,Investigación de Operaciones II
71,5,2037,Investigación de Operaciones II
72,5,2037,Investigación de Operaciones II
74,3,2037,Investigación de Operaciones II
75,3,2037,Investigación de Operaciones II
77,5,2037,Investigación de Operaciones II
80,1,2037,Investigación de Operaciones II
81,1,2037,Investigación de Operaciones II
82,2,2037,Investigación de Operaciones II
84,3,2037,Investigación de Operaciones II
85,1,2037,Investigación de Operaciones II
91,1,2037,Investigación de Operaciones II
96,3,2037,Investigación de Operaciones II
105,4,2037,Investigación de Operaciones II
107,1,2037,Investigación de Operaciones II
111,3,2037,Investigación de Operaciones II
113,5,2037,Investigación de Operaciones II
115,1,2037,Investigación de Operaciones II
46,1,2038,Legislacion de Seguros
76,3,2038,Legislacion de Seguros
3,4,2039,Modelos y Simulación
5,5,2039,Modelos y Simulación
11,3,2039,Modelos y Simulación
14,1,2039,Modelos y Simulación
15,3,2039,Modelos y Simulación
16,2,2039,Modelos y Simulación
17,4,2039,Modelos y Simulación
22,1,2039,Modelos y Simulación
24,4,2039,Modelos y Simulación
26,4,2039,Modelos y Simulación
27,5,2039,Modelos y Simulación
28,4,2039,Modelos y Simulación
29,4,2039,Modelos y Simulación
30,3,2039,Modelos y Simulación
32,2,2039,Modelos y Simulación
37,5,2039,Modelos y Simulación
39,3,2039,Modelos y Simulación
41,5,2039,Modelos y Simulación
42,3,2039,Modelos y Simulación
43,4,2039,Modelos y Simulación
44,3,2039,Modelos y Simulación
47,5,2039,Modelos y Simulación
48,4,2039,Modelos y Simulación
49,4,2039,Modelos y Simulación
51,5,2039,Modelos y Simulación
52,2,2039,Modelos y Simulación
53,2,2039,Modelos y Simulación
54,3,2039,Modelos y Simulación
55,1,2039,Modelos y Simulación
56,2,2039,Modelos y Simulación
57,4,2039,Modelos y Simulación
58,2,2039,Modelos y Simulación
61,4,2039,Modelos y Simulación
62,4,2039,Modelos y Simulación
64,4,2039,Modelos y Simulación
65,4,2039,Modelos y Simulación
66,3,2039,Modelos y Simulación
67,2,2039,Modelos y Simulación
68,5,2039,Modelos y Simulación
69,1,2039,Modelos y Simulación
70,4,2039,Modelos y Simulación
71,3,2039,Modelos y Simulación
72,2,2039,Modelos y Simulación
73,5,2039,Modelos y Simulación
74,1,2039,Modelos y Simulación
75,5,2039,Modelos y Simulación
77,3,2039,Modelos y Simulación
78,2,2039,Modelos y Simulación
79,3,2039,Modelos y Simulación
80,4,2039,Modelos y Simulación
81,3,2039,Modelos y Simulación
82,4,2039,Modelos y Simulación
83,4,2039,Modelos y Simulación
84,1,2039,Modelos y Simulación
85,4,2039,Modelos y Simulación
87,5,2039,Modelos y Simulación
88,4,2039,Modelos y Simulación
89,3,2039,Modelos y Simulación
90,2,2039,Modelos y Simulación
91,4,2039,Modelos y Simulación
92,4,2039,Modelos y Simulación
93,5,2039,Modelos y Simulación
94,1,2039,Modelos y Simulación
95,2,2039,Modelos y Simulación
97,5,2039,Modelos y Simulación
98,3,2039,Modelos y Simulación
99,3,2039,Modelos y Simulación
100,4,2039,Modelos y Simulación
102,4,2039,Modelos y Simulación
103,4,2039,Modelos y Simulación
104,5,2039,Modelos y Simulación
106,1,2039,Modelos y Simulación
108,4,2039,Modelos y Simulación
109,4,2039,Modelos y Simulación
112,5,2039,Modelos y Simulación
113,3,2039,Modelos y Simulación
114,5,2039,Modelos y Simulación
115,4,2039,Modelos y Simulación
118,4,2039,Modelos y Simulación
