danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.699|0.61|2|-9.308|0|0.0541|0.511|2.31e-06|0.127|0.846|178.112|audio_features|2niUiaoJDCzNldW0pV66zb|spotify:track:2niUiaoJDCzNldW0pV66zb|https://api.spotify.com/v1/tracks/2niUiaoJDCzNldW0pV66zb|https://api.spotify.com/v1/audio-analysis/2niUiaoJDCzNldW0pV66zb|237107|4|Natalia Lafourcade|Nunca Es Suficiente|16|71
0.667|0.287|0|-9.718|1|0.0334|0.769|3.61e-06|0.106|0.545|127.981|audio_features|5wWxUdgn2OugIOvLJOdreH|spotify:track:5wWxUdgn2OugIOvLJOdreH|https://api.spotify.com/v1/tracks/5wWxUdgn2OugIOvLJOdreH|https://api.spotify.com/v1/audio-analysis/5wWxUdgn2OugIOvLJOdreH|279213|4|Natalia Lafourcade|Lo Que Construimos|17|70
0.748|0.835|7|-5.731|1|0.0351|0.0854|1.97e-06|0.0365|0.896|142.942|audio_features|19ScoKGqnfUggyqOVQjsoH|spotify:track:19ScoKGqnfUggyqOVQjsoH|https://api.spotify.com/v1/tracks/19ScoKGqnfUggyqOVQjsoH|https://api.spotify.com/v1/audio-analysis/19ScoKGqnfUggyqOVQjsoH|212000|4|Café Tacvba|La ingrata|18|65
0.678|0.754|4|-5.351|1|0.0419|0.256|3.91e-05|0.0372|0.961|162.95|audio_features|0L5qiMNHGSEX78fj1ROX54|spotify:track:0L5qiMNHGSEX78fj1ROX54|https://api.spotify.com/v1/tracks/0L5qiMNHGSEX78fj1ROX54|https://api.spotify.com/v1/audio-analysis/0L5qiMNHGSEX78fj1ROX54|260733|4|Café Tacvba|El puñal y el corazón|19|44
0.542|0.593|7|-5.959|1|0.0308|0.000493|0.899|0.111|0.0392|129.969|audio_features|14driiVW1VdxpmkHj2k2hu|spotify:track:14driiVW1VdxpmkHj2k2hu|https://api.spotify.com/v1/tracks/14driiVW1VdxpmkHj2k2hu|https://api.spotify.com/v1/audio-analysis/14driiVW1VdxpmkHj2k2hu|288760|4|Austin TV|Ella No Me Conoce|20|0
0.518|0.416|0|-7.579|1|0.0242|0.00728|0.00175|0.104|0.268|150.01|audio_features|3O6FSINQCT743cLVMRJrsT|spotify:track:3O6FSINQCT743cLVMRJrsT|https://api.spotify.com/v1/tracks/3O6FSINQCT743cLVMRJrsT|https://api.spotify.com/v1/audio-analysis/3O6FSINQCT743cLVMRJrsT|262880|4|Café Tacvba|Esta Vez|21|53
0.446|0.21|5|-10.83|0|0.031|0.825|0.0|0.113|0.235|185.915|audio_features|6KqmOVovXxGwjnD6ZeOR3d|spotify:track:6KqmOVovXxGwjnD6ZeOR3d|https://api.spotify.com/v1/tracks/6KqmOVovXxGwjnD6ZeOR3d|https://api.spotify.com/v1/audio-analysis/6KqmOVovXxGwjnD6ZeOR3d|190360|3|Carla Morrison|Duele|22|33
0.555|0.349|0|-10.725|1|0.0392|0.847|3.56e-05|0.105|0.283|184.3|audio_features|3crmlpNiwJq5BYn0bqh7HL|spotify:track:3crmlpNiwJq5BYn0bqh7HL|https://api.spotify.com/v1/tracks/3crmlpNiwJq5BYn0bqh7HL|https://api.spotify.com/v1/audio-analysis/3crmlpNiwJq5BYn0bqh7HL|208933|4|Carla Morrison|Tu Orgullo|23|29
0.643|0.312|1|-7.155|1|0.0351|0.836|0.0|0.106|0.094|94.093|audio_features|61paDgouceUmuVTsoUO5TD|spotify:track:61paDgouceUmuVTsoUO5TD|https://api.spotify.com/v1/tracks/61paDgouceUmuVTsoUO5TD|https://api.spotify.com/v1/audio-analysis/61paDgouceUmuVTsoUO5TD|235307|3|Carla Morrison|Déjenme Llorar|24|54
0.433|0.123|1|-11.234|0|0.0468|0.887|0.0|0.106|0.137|181.882|audio_features|0zTSmiDzVkIPUPjsHcUWpe|spotify:track:0zTSmiDzVkIPUPjsHcUWpe|https://api.spotify.com/v1/tracks/0zTSmiDzVkIPUPjsHcUWpe|https://api.spotify.com/v1/audio-analysis/0zTSmiDzVkIPUPjsHcUWpe|244973|4|Carla Morrison|Disfruto|25|59
